object_id;title;orig_country;release_date;for_children;about;characters;category_property;place;tima;theme;classifier
219611;Нэнси Дрю и потайная лестница;США;2019-03-15;1;['женская дружба','дружба','борьба за справедливость','загадки и тайны','семейный конфликт','похищения','отношения отца и дочери','особняки или замки','силы правопорядка','отцы и дети','частные детективы или сыщики','друзья','примирение противников','расследование','хулиганы','ограбления','храбрость','подростки','преступления','разоблачение','семья'];;['женская дружба','дружба','борьба за справедливость','загадки и тайны','семейный конфликт','похищения','отношения отца и дочери','особняки или замки','силы правопорядка','отцы и дети','частные детективы или сыщики','друзья','примирение противников','расследование','хулиганы','ограбления','храбрость','подростки','преступления','разоблачение','семья'];США;20-й век;развлекательные;Зарубежные фильмы
223808;Проклятие плачущей;США;2019-03-15;0;['страхи','роковая ошибка','связь времен','привидения','исчезновения','сверхъестественное','убийства и убийцы','отношения родителей и детей','смерть','спасение','проклятия','вера или религиозность','семья','священники','борьба со злом','дети'];;['страхи','роковая ошибка','связь времен','привидения','исчезновения','сверхъестественное','убийства и убийцы','отношения родителей и детей','смерть','спасение','проклятия','вера или религиозность','семья','священники','борьба со злом','дети'];['США, Лос-Анджелес','дом','США'];20-й век;психологический;Зарубежные фильмы
11231;Хороший доктор;США;2019-09-23;0;['прошлое героя','непутевые родители','отношения сотрудника и работодателя','дискриминация','психологические расстройства','отношения','врачи','спасение','друзья','семейные проблемы','гении','аутисты','работа','отношения отца и сына','отношения между братьями','интриги на работе','дружба','женщина-врач','отношения сотрудников'];;['прошлое героя','непутевые родители','отношения сотрудника и работодателя','дискриминация','психологические расстройства','отношения','врачи','спасение','друзья','семейные проблемы','гении','аутисты','работа','отношения отца и сына','отношения между братьями','интриги на работе','дружба','женщина-врач','отношения сотрудников'];['США, Калифорния','США','больница/клиника'];21-й век;['медицинский','психологический'];['other','Зарубежные сериалы']
223898;В метре друг от друга;США;2019-03-14;0;['отношения в паре','друзья','молодежь','любовь','отношения мужчины и женщины','романтические отношения','медицина','отношения врача и пациента','отношения','неизлечимо больные','врачи','дружба'];;['отношения в паре','друзья','молодежь','любовь','отношения мужчины и женщины','романтические отношения','медицина','отношения врача и пациента','отношения','неизлечимо больные','врачи','дружба'];больница/клиника;21-й век;психологический;Зарубежные фильмы
170872;Т-34;Россия;2019-01-01;0;['перестрелки','дружба','друзья','мужская дружба','оружие','героизм','обман','преследования','коллектив (команда)','война','настоящие мужчины','побег','концлагерь','танки','враги или вражда','Вторая мировая война','храбрость','нацизм или нацисты','Великая Отечественная война'];;['перестрелки','дружба','друзья','мужская дружба','оружие','героизм','обман','преследования','коллектив (команда)','война','настоящие мужчины','побег','концлагерь','танки','враги или вражда','Вторая мировая война','храбрость','нацизм или нацисты','Великая Отечественная война'];['Европа','Германия','СССР'];20-й век;патриотические;Российские фильмы
184614;Джон Уик 3;США;2019-05-15;0;['драки','миссия/цель/задание','преступления','убийства и убийцы','деньги','месть','жестокость','оружие','преследования','отношения','убийцы','прошлое героя','перестрелки','боевые искусства','погони','антигерои','киллеры','жертвы','друзья','настоящие мужчины','бандиты и гангстеры'];;['драки','миссия/цель/задание','преступления','убийства и убийцы','деньги','месть','жестокость','оружие','преследования','отношения','убийцы','прошлое героя','перестрелки','боевые искусства','погони','антигерои','киллеры','жертвы','друзья','настоящие мужчины','бандиты и гангстеры'];['США, Нью-Йорк','США','большой город'];21-й век;развлекательные;Зарубежные фильмы
132291;Мстители: Финал;США;2019-04-22;0;['отношения мужчины и женщины','борьба за справедливость','супергерои','самопожертвование','миссия/цель/задание','сверхспособности','спасение','преследования','угроза всему миру','путешествия во времени','преображения','отношения','битвы','герои комиксов','магия и волшебство','разговоры','борьба со злом','настоящие мужчины','месть','дружба','друзья','героизм','враги или вражда'];;['отношения мужчины и женщины','борьба за справедливость','супергерои','самопожертвование','миссия/цель/задание','сверхспособности','спасение','преследования','угроза всему миру','путешествия во времени','преображения','отношения','битвы','герои комиксов','магия и волшебство','разговоры','борьба со злом','настоящие мужчины','месть','дружба','друзья','героизм','враги или вражда'];['США','другие планеты'];21-й век;развлекательные;Зарубежные фильмы
181092;Падение ангела;США;2019-08-20;0;['секретные агенты','спасение','героизм','подставы','преследования','храбрость','риск','перестрелки','ФБР, ЦРУ, АНБ','взрывы','убийства и убийцы','политика','отношения отца и сына','политические лидеры','борьба за власть','преступления','самолеты','настоящие мужчины','драки','телохранители'];;['секретные агенты','спасение','героизм','подставы','преследования','храбрость','риск','перестрелки','ФБР, ЦРУ, АНБ','взрывы','убийства и убийцы','политика','отношения отца и сына','политические лидеры','борьба за власть','преступления','самолеты','настоящие мужчины','драки','телохранители'];['США','транспортные средства'];21-й век;развлекательные;Зарубежные фильмы
414650;Обратный отсчет;США;2019-10-24;0;['борьба со злом','загадочные смерти','молодежь','наука и техника','миссия/цель/задание','сверхъестественное','священники','смерть','страхи','борьба за выживание','монстры','убийцы','отношения в паре'];;['борьба со злом','загадочные смерти','молодежь','наука и техника','миссия/цель/задание','сверхъестественное','священники','смерть','страхи','борьба за выживание','монстры','убийцы','отношения в паре'];США;21-й век;['психологический','развлекательные'];Зарубежные фильмы
212674;Королевский корги;Бельгия;2019-01-16;1;['собаки','добрые дела','знакомства','животные','возвращение домой','друзья','отношения между человеком и животным','жизнь улиц','интриги','любовь','смена жизненных приоритетов','короли и королевы','преодоление трудностей','дружба'];;['собаки','добрые дела','знакомства','животные','возвращение домой','друзья','отношения между человеком и животным','жизнь улиц','интриги','любовь','смена жизненных приоритетов','короли и королевы','преодоление трудностей','дружба'];['Великобритания','большой город'];21-й век;['развлекательные','образовательный'];Анимация
241456;Ты умеешь хранить секреты?;США;2019-08-16;0;['отношения сотрудника и работодателя','случайные встречи','самолеты','романы на работе','разоблачение','отношения сотрудников','отношения','служебный роман','золушка','недоразумение','романтические отношения','любовь','отношения мужчины и женщины','обман'];;['отношения сотрудника и работодателя','случайные встречи','самолеты','романы на работе','разоблачение','отношения сотрудников','отношения','служебный роман','золушка','недоразумение','романтические отношения','любовь','отношения мужчины и женщины','обман'];США;21-й век;развлекательные;Зарубежные фильмы
